Step,ackley_mlp_20250514_222306 - best_value,ackley_mlp_20250514_220635 - best_value,DeepEnsemble_ackley_std_20250514_215604 - best_value,ackley_mlp_20250514_215355 - best_value,CSV_VBLL_ackley_dense_precision_multirank_20250514_203755 - best_value,BLOB_EnsembleEnsemble_BLOB_ackley_20250514_144316 - best_value,CSV_BLOB_ackley_20250514_144056 - best_value,CSV_VBLL_ackley_dense_precision_multirank_20250514_223700 - best_value,CSV_BLOB_ackley_20250514_223354 - best_value,DeepEnsemble_ackley_std_20250514_223700 - best_value
36,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.68631525,17.3565105,17.33978239,,17.53743051
37,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,17.33978239,,17.53743051
38,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,17.33978239,,17.53743051
39,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,17.33978239,,17.53743051
40,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,17.33978239,,17.53743051
41,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,17.33978239,,17.33978239
42,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,17.33978239,,17.33978239
43,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,17.33978239,,17.33978239
44,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,17.33978239,,17.33978239
45,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,17.33978239
46,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,16.94933574,,17.33978239
47,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,17.33978239
48,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,16.94933574,,17.33978239
49,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
50,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,16.94933574,,
51,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
52,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,16.94933574,,
53,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
54,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.63853211,17.3565105,16.94933574,,
55,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
56,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,16.94933574,,
57,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
58,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,16.94933574,,
59,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
60,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,16.94933574,,
61,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
62,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,16.94933574,,
63,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,16.94933574,,
64,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,16.94933574,,
65,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
66,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
67,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
68,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
69,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
70,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
71,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
72,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
73,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
74,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
75,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
76,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
77,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
78,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
79,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
80,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
81,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,,17.3565105,,,
82,17.32319042,17.32319042,17.32319042,17.32319042,17.35235493,17.33978239,17.3565105,,,
83,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,,17.3565105,,,
84,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,17.33978239,17.3565105,,,
85,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,,17.3565105,,,
86,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,17.33978239,17.3565105,,,
87,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,,17.3565105,,,
88,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,17.33978239,17.3565105,,,
89,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,,17.3565105,,,
90,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,17.33978239,17.3565105,,,
91,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,,17.3565105,,,
92,17.32319042,17.32319042,17.32319042,17.32319042,17.25676584,17.33978239,17.3565105,,,
93,17.32319042,17.32319042,17.32319042,17.32319042,16.94933574,,17.3565105,,,
94,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
95,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,,17.3565105,,,
96,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
97,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,,17.3565105,,,
98,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
99,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,,17.3565105,,,
100,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
101,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,,17.3565105,,,
102,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
103,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,,17.3565105,,,
104,16.94933574,17.32319042,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
105,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,,17.3565105,,,
106,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
107,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,,17.3565105,,,
108,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
109,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,,17.3565105,,,
110,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,17.33978239,17.3565105,,,
111,16.94933574,17.25676584,17.32319042,17.32319042,16.94933574,,17.3565105,,,
112,16.94933574,17.25676584,17.21141304,16.94933574,16.94933574,17.33978239,17.3565105,,,
113,16.94933574,17.25676584,17.21141304,16.94933574,16.94933574,,17.3565105,,,
114,16.94933574,17.25676584,17.21141304,16.94933574,16.94933574,17.33978239,17.3565105,,,
115,16.94933574,17.25676584,17.21141304,16.94933574,16.94933574,,17.3565105,,,
116,16.94933574,17.25676584,17.21141304,16.94933574,16.94933574,17.33978239,17.3565105,,,
117,16.94933574,17.25676584,17.21141304,16.94933574,16.94933574,,17.3565105,,,
118,16.94933574,17.25676584,,16.94933574,16.94933574,17.33978239,17.3565105,,,
119,16.94933574,17.25676584,,16.94933574,16.94933574,,17.3565105,,,
120,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.3565105,,,
121,16.94933574,16.94933574,,16.94933574,16.94933574,,17.3565105,,,
122,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.3565105,,,
123,16.94933574,16.94933574,,16.94933574,16.94933574,,17.3565105,,,
124,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.3565105,,,
125,16.94933574,16.94933574,,16.94933574,16.94933574,,17.3565105,,,
126,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.3565105,,,
127,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
128,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
129,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
130,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
131,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
132,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
133,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
134,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
135,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
136,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
137,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
138,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
139,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
140,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
141,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
142,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
143,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
144,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
145,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
146,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
147,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
148,16.94933574,16.94933574,,16.94933574,16.94933574,17.33978239,17.25676584,,,
149,16.94933574,16.94933574,,16.94933574,16.94933574,,17.25676584,,,
150,,,,,16.94933574,17.33978239,17.25676584,,,
151,,,,,16.94933574,,17.25676584,,,
152,,,,,16.94933574,17.33978239,17.25676584,,,
153,,,,,16.94933574,,17.25676584,,,
154,,,,,16.94933574,17.33978239,17.25676584,,,
155,,,,,16.94933574,,17.25676584,,,
156,,,,,16.94933574,17.33978239,17.25676584,,,
157,,,,,16.94933574,,17.25676584,,,
158,,,,,16.94933574,17.33978239,17.25676584,,,
159,,,,,16.94933574,,17.25676584,,,
160,,,,,,17.33978239,17.25676584,,,
161,,,,,,,17.25676584,,,
162,,,,,,17.33978239,17.25676584,,,
163,,,,,,,17.25676584,,,
164,,,,,,17.33978239,17.25676584,,,
165,,,,,,,17.25676584,,,
166,,,,,,17.33978239,17.25676584,,,
167,,,,,,,17.25676584,,,
168,,,,,,17.33978239,16.94933574,,,
169,,,,,,,16.94933574,,,
170,,,,,,17.33978239,16.94933574,,,
171,,,,,,,16.94933574,,,
172,,,,,,17.33978239,16.94933574,,,
173,,,,,,,16.94933574,,,
174,,,,,,17.33978239,16.94933574,,,
175,,,,,,,16.94933574,,,
176,,,,,,17.33978239,16.94933574,,,
177,,,,,,,16.94933574,,,
178,,,,,,17.33978239,16.94933574,,,
179,,,,,,,16.94933574,,,
180,,,,,,17.33978239,16.94933574,,,
181,,,,,,,16.94933574,,,
182,,,,,,17.33978239,16.94933574,,,
183,,,,,,,16.94933574,,,
184,,,,,,17.33978239,16.94933574,,,
185,,,,,,,16.94933574,,,
186,,,,,,17.33978239,16.94933574,,,
187,,,,,,,16.94933574,,,
188,,,,,,17.33978239,16.94933574,,,
189,,,,,,,16.94933574,,,
190,,,,,,17.33978239,16.94933574,,,
191,,,,,,,16.94933574,,,
192,,,,,,17.33978239,16.94933574,,,
193,,,,,,,16.94933574,,,
194,,,,,,17.33978239,16.94933574,,,
195,,,,,,,16.94933574,,,
196,,,,,,17.33978239,16.94933574,,,
197,,,,,,,16.94933574,,,
198,,,,,,17.33978239,16.94933574,,,
199,,,,,,,16.94933574,,,
200,,,,,,17.33978239,16.94933574,,,
201,,,,,,,16.94933574,,,
202,,,,,,17.33978239,16.94933574,,,
203,,,,,,,16.94933574,,,
204,,,,,,17.33978239,16.94933574,,,
205,,,,,,,16.94933574,,,
206,,,,,,17.33978239,16.94933574,,,
207,,,,,,,16.94933574,,,
208,,,,,,17.33978239,16.94933574,,,
209,,,,,,,16.94933574,,,
210,,,,,,17.33978239,16.94933574,,,
211,,,,,,,16.94933574,,,
212,,,,,,17.33978239,16.94933574,,,
213,,,,,,,16.94933574,,,
214,,,,,,17.33978239,16.94933574,,,
215,,,,,,,16.94933574,,,
216,,,,,,17.33978239,16.94933574,,,
217,,,,,,,16.94933574,,,
218,,,,,,17.33978239,16.94933574,,,
219,,,,,,,16.94933574,,,
220,,,,,,17.33978239,,,,
222,,,,,,17.33978239,,,,
224,,,,,,17.33978239,,,,
226,,,,,,17.33978239,,,,
228,,,,,,17.33978239,,,,
230,,,,,,17.33978239,,,,
232,,,,,,17.33978239,,,,
234,,,,,,17.33978239,,,,
236,,,,,,17.33978239,,,,
238,,,,,,17.33978239,,,,
240,,,,,,17.33978239,,,,
242,,,,,,17.33978239,,,,
244,,,,,,17.33978239,,,,
246,,,,,,17.33978239,,,,
248,,,,,,17.33978239,,,,
250,,,,,,17.33978239,,,,
252,,,,,,17.33978239,,,,
254,,,,,,17.33978239,,,,
256,,,,,,17.33978239,,,,
258,,,,,,17.33978239,,,,
260,,,,,,17.33978239,,,,
262,,,,,,17.33978239,,,,
264,,,,,,17.33978239,,,,
266,,,,,,17.33978239,,,,
268,,,,,,17.33978239,,,,
270,,,,,,17.33978239,,,,
272,,,,,,17.33978239,,,,
274,,,,,,17.33978239,,,,
276,,,,,,17.33978239,,,,
278,,,,,,17.33978239,,,,
280,,,,,,17.33978239,,,,
282,,,,,,17.33978239,,,,
284,,,,,,17.33978239,,,,
286,,,,,,17.33978239,,,,
288,,,,,,17.33978239,,,,
290,,,,,,17.33978239,,,,
292,,,,,,17.33978239,,,,
294,,,,,,17.33978239,,,,
296,,,,,,17.33978239,,,,
298,,,,,,17.33978239,,,,
300,,,,,,17.33978239,,,,
302,,,,,,17.33978239,,,,
304,,,,,,17.33978239,,,,
306,,,,,,17.33978239,,,,
308,,,,,,17.33978239,,,,
310,,,,,,17.33978239,,,,
312,,,,,,17.33978239,,,,
314,,,,,,17.33978239,,,,
316,,,,,,17.33978239,,,,
318,,,,,,17.33978239,,,,
320,,,,,,17.33978239,,,,
322,,,,,,17.33978239,,,,
324,,,,,,17.33978239,,,,
326,,,,,,17.33978239,,,,
328,,,,,,17.33978239,,,,
330,,,,,,17.33978239,,,,
332,,,,,,17.33978239,,,,
334,,,,,,17.33978239,,,,
336,,,,,,17.33978239,,,,
338,,,,,,17.33978239,,,,
340,,,,,,17.33978239,,,,
342,,,,,,17.33978239,,,,
344,,,,,,17.33978239,,,,
346,,,,,,17.33978239,,,,
348,,,,,,17.33978239,,,,
350,,,,,,17.33978239,,,,
352,,,,,,17.33978239,,,,
354,,,,,,17.33978239,,,,
356,,,,,,17.33978239,,,,
358,,,,,,17.33978239,,,,
360,,,,,,17.33978239,,,,
362,,,,,,17.33978239,,,,
364,,,,,,17.33978239,,,,
366,,,,,,17.33978239,,,,
368,,,,,,17.33978239,,,,
370,,,,,,17.33978239,,,,
372,,,,,,17.33978239,,,,
374,,,,,,17.33978239,,,,
376,,,,,,17.33978239,,,,
378,,,,,,17.33978239,,,,
380,,,,,,17.33978239,,,,
382,,,,,,17.33978239,,,,
384,,,,,,17.33978239,,,,
386,,,,,,17.33978239,,,,
388,,,,,,17.33978239,,,,
390,,,,,,17.33978239,,,,
392,,,,,,17.33978239,,,,
394,,,,,,17.33978239,,,,
396,,,,,,17.33978239,,,,
398,,,,,,17.33978239,,,,
400,,,,,,17.33978239,,,,
402,,,,,,17.33978239,,,,
404,,,,,,17.33978239,,,,
406,,,,,,17.33978239,,,,
408,,,,,,17.33978239,,,,
410,,,,,,17.33978239,,,,
412,,,,,,17.33978239,,,,
414,,,,,,17.33978239,,,,
416,,,,,,17.33978239,,,,
418,,,,,,17.33978239,,,,
420,,,,,,17.33978239,,,,
422,,,,,,17.33978239,,,,
424,,,,,,17.33978239,,,,
426,,,,,,17.33978239,,,,
428,,,,,,17.33978239,,,,
430,,,,,,17.33978239,,,,
432,,,,,,17.33978239,,,,
434,,,,,,17.33978239,,,,
436,,,,,,17.33978239,,,,
438,,,,,,17.33978239,,,,
