Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
33,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
34,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
35,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
36,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
37,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
38,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
39,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
40,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
41,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
42,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
43,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
44,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
45,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
46,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
47,,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,,-189.1309509,,-192.3918152
48,-189.1309509,-192.3918152,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-192.3918152,-189.1309509,-189.1309509,-189.1309509,-189.1309509,,-192.3918152
